source,line,key,translate,english,spanish,note
en.lproj/Localizable.strings,1,NSCameraUsageDescription,yes,The camera will be used to take your measurements.,The camera will be used to take your measurements.,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,2,MEASURING_COUNTDOWN,yes,Measurement starting in...,Measurement starting in...,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,3,MEASURING_MSG_DEFAULT,yes,Please center your face within the outline,Please center your face within the outline,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,4,MEASURING_PERFECT,yes,Perfect! Please hold still,Perfect! Please hold still,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,5,MEASURING_STARTED,yes,"Measurement Started
Please hold still","Measurement Started
Please hold still",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,6,WARNING_CONSTRAINT_BACKLIGHT,yes,"The backlight is too strong
Please try changing position so more light falls directly on the face","The backlight is too strong
Please try changing position so more light falls directly on the face",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,7,WARNING_CONSTRAINT_BRIGHTNESS,yes,"Your face is too bright
Please try to dim the lights","Your face is too bright
Please try to dim the lights",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,8,WARNING_CONSTRAINT_DARKNESS,yes,"Your face is not well lit
Please try better lighting","Your face is not well lit
Please try better lighting",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,9,WARNING_CONSTRAINT_DISTANCE,yes,"The face is too far
Please try to move closer to the camera","The face is too far
Please try to move closer to the camera",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,10,WARNING_CONSTRAINT_EXPOSURE,yes,Please hold still while the camera is calibrating...,Please hold still while the camera is calibrating...,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,11,WARNING_CONSTRAINT_FPS,yes,"The camera is not maintaining the required frame rate
Please try closing all background applications","The camera is not maintaining the required frame rate
Please try closing all background applications",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,12,WARNING_CONSTRAINT_GAZE,yes,"The view of the face is poor
Please look directly into the camera","The view of the face is poor
Please look directly into the camera",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,13,WARNING_CONSTRAINT_MOVEMENT,yes,"Too much movement
Please hold still","Too much movement
Please hold still",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,14,WARNING_CONSTRAINT_POSITION,yes,Try to keep your face within the outline,Try to keep your face within the outline,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,15,WARNING_CONSTRAINT_TOO_CLOSE,yes,Please move a little further away,Please move a little further away,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,16,WARNING_CONSTRAINT_TOO_FAR,yes,Please move a little closer and center your face within the outline,Please move a little closer and center your face within the outline,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,17,WARNING_LOW_POWER_MODE,yes,"For better accuracy, please disable Low Power Mode","For better accuracy, please disable Low Power Mode",SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,18,MEASUREMENT_CANCELED,yes,Measurement cancelled,Measurement cancelled,SDK/system Spanish placeholder currently matches English; replace with translated value.
en.lproj/Localizable.strings,19,ERR_CONSTRAINT_BRIGHTNESS,yes,"Your face was too bright
Please try to dim the lights","Your face was too bright
Please try to dim the lights",SDK/system Spanish placeholder currently matches English; replace with translated value.
